,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Utterance,Start,End,group_id,origin,original_text,annotation_type,rationale_for_probing_label,message_id,causal_counterpart_1,causal_counterpart_2,causal_counterpart_3,reasoning_1,reasoning_2,reasoning_3,probingQuestionID,prev_utterance_history,probing_utterance,causal_counterpart1_msgID,causal_counterpart2_msgID,causal_counterpart3_msgID,set
17,17,17,17,17,62.58,65.18,1,1,Use the scale to determine the weights ok cool,Neither,The utterance is neither a probing question nor non-probing deliberation. It is a simple directive instructing the participants to use the scale to determine the weights. It does not induce further discussion or provide reasoning related to the task at hand.,msgid17,,,,,,,,,,,,,Train
18,18,18,18,18,64.91,69.66,1,4,Yes um and if you guys can fill out that survey like as you go because you'll be submitting answers on there,,,msgid18,,,,,,,,,,,,,Train
19,19,19,19,19,69.81,71.51,1,1,Where's the survey oh ok,Neither,"This utterance does not fit into the categories of probing or non-probing deliberation. It seems to be a statement that is not related to the task at hand, possibly indicating some confusion or distraction.",msgid19,,,,,,,,,,,,,Train
20,20,20,20,20,70.51,70.01,1,3,um it's turned off,Neither,"This utterance does not fall under 'probing' as it does not provoke further discussion or argumentation. It also does not fall under 'non-probing deliberation' as it does not contribute to the task solution or participants' reasoning. Therefore, it is labeled as 'Neither'.",msgid20,,,,,,,,,,,,,Train
21,21,21,21,21,72.25,73.53,1,4,Oh,,,msgid21,,,,,,,,,,,,,Train
22,22,22,22,22,75.81,77.17,1,4,And you guys will be group one,,,msgid22,,,,,,,,,,,,,Train
23,23,23,23,23,77.51,77.75,1,2,Ok,Neither,This utterance does not fall under probing or non-probing deliberation categories. It is a simple acknowledgment or agreement that does not introduce new information or provoke further discussion.,msgid23,,,,,,,,,,,,,Train
24,24,24,24,24,78.08,80.58,1,1,ok well red block would be nine minus ten,Non-probing deliberation,Participant 1 is engaging in non-probing deliberation by suggesting that the weight of the red block should be nine grams less than the known weight of ten grams. This contributes to the task at hand of determining the weights of the wooden blocks.,msgid24,,,,,,,,,,,,,Train
25,25,25,25,25,78.58,78.08,1,3,One,Neither,"The utterance 'One' is neither a probing question, nor a non-probing deliberation. It does not introduce new information, provoke discussion, or contribute to solving the task at hand.",msgid25,,,,,,,,,,,,,Train
26,26,26,26,26,80.58,84.3,1,2,red block's ten so then,Non-probing deliberation,The utterance is part of the deliberation process to determine the weight of the blocks. Participant is discussing the weight of the red block based on the information gathered so far.,msgid26,,,,,,,,,,,,,Train
27,27,27,27,27,86.07,87.41,1,1,just like put it on,Non-probing deliberation,The utterance 'just like put it on' is a prompt for a practical action related to the task of determining the weights of the blocks. It does not provoke further discussion or argumentation but contributes to the ongoing deliberation process.,msgid27,,,,,,,,,,,,,Train
28,28,28,28,28,87.48,89.04,1,2,Does the slider move,Probing,"This utterance is probing as it is asking a question that may lead to further discussion or experimentation, potentially changing the flow of the conversation by prompting the participants to explore the functionality of the slider.",msgid28,Participant 1: Use the scale to determine the weights ok cool,Participant 1: Ok so you want us to,Participant 1: Oh and we don't touch the scale yet,"This utterance directly precedes the probing question and sets the context for interacting with the scale, potentially leading to inquiries about its functionality.","Participant 1's acknowledgment of the task at hand indicates their readiness to engage with the scale, which could prompt queries related to its operation.","The instruction not to touch the scale yet implies that there will be a specific time or method for using it, prompting the subsequent dialogue about determining the weights.",1_1,"Participant 1: Ok yeah  
Participant 1: Oh and we don't touch the scale yet
Participant 3: it's right there
Participant 1: Ok so you want us to
Participant 1: Use the scale to determine the weights ok cool
Participant 1: Where's the survey oh ok
Participant 3: um it's turned off
Participant 2: Ok
Participant 1: ok well red block would be nine minus ten
Participant 3: One
Participant 2: red block's ten so then
Participant 1: just like put it on",Does the slider move,msgid17,msgid16,msgid12,Train
29,29,29,29,29,90.12,92.13,1,1,Hold on lets just uh,Neither,This utterance is not a probing question or non-probing deliberation. It seems more like a hesitation cue ('uh') which does not contribute to the deliberation or argumentation process.,msgid29,,,,,,,,,,,,,Train
30,30,30,30,30,95.19,97.17,1,3,"red block, blue block seems pretty balanced",Non-probing deliberation,The utterance is a part of the deliberation process as the participant discusses the balance between the red and blue blocks. It contributes to the task solution and reasoning by evaluating the balance on the scale.,msgid30,,,,,,,,,,,,,Train
31,31,31,31,31,97.56,102.03,1,1,yeah ok so now we know that blue block is also ten,Non-probing deliberation,This utterance is a part of the deliberation process where the participant is discussing the weight of the blue block based on the information gathered so far. It contributes to the task's solution by sharing a conclusion about the weight of the blue block.,msgid31,,,,,,,,,,,,,Train
32,32,32,32,32,102.39,105.87,1,1,Um ok so now,Neither,This utterance does not fall under probing or non-probing deliberation categories. It is neither introducing new information nor actively engaging in the task's solution or reasoning process.,msgid32,,,,,,,,,,,,,Train
33,33,33,33,33,104.08,104.58,1,2,Ok,Neither,The utterance 'Ok' does not fit into the categories of probing or non-probing deliberation as it does not introduce any new information or provoke discussion or argumentation. It is a simple acknowledgment or confirmation without significant impact on the conversation flow.,msgid33,,,,,,,,,,,,,Train
34,34,34,34,34,106.23,110.01,1,1,what would we maybe put blue block one on there too,Probing,This utterance is a probing question that suggests putting the blue block on the scale as well. This can potentially lead to further discussion or deliberation about the weights of the blocks and how to use the balance scale effectively.,msgid34,Participant 1: just like put it on,"Participant 3: red block, blue block seems pretty balanced",Participant 1: um ok so now,Participant 1 suggesting to put the red block on the scale directly triggered the probing question about potentially adding the blue block as well.,Participant 3's observation that the red block and blue block seemed balanced serves as a causal counterpart as it implies a potential relationship between the weights of these blocks.,Participant 1's confirmation of the balance between the red and blue blocks leads to a further step in the reasoning process for determining the weights of the blocks.,1_2,"Participant 1: Ok yeah  
Participant 1: Oh and we don't touch the scale yet
Participant 3: it's right there
Participant 1: Ok so you want us to
Participant 1: Use the scale to determine the weights ok cool
Participant 1: Where's the survey oh ok
Participant 3: um it's turned off
Participant 2: Ok
Participant 1: ok well red block would be nine minus ten
Participant 3: One
Participant 2: red block's ten so then
Participant 1: just like put it on
Participant 2: Does the slider move
Participant 1: Hold on lets just uh
Participant 3: red block, blue block seems pretty balanced
Participant 1: yeah ok so now we know that blue block is also ten
Participant 1: Um ok so now
Participant 2: Ok",what would we maybe put blue block one on there too,msgid27,msgid30,msgid32,Train
35,35,35,35,35,108.63,109.33,1,2,Cool,Neither,"The utterance 'Cool' does not fall under probing or non-probing deliberation categories. It does not introduce new information or provoke further discussion. It is more of a general expression or reaction, hence categorizing it as 'Neither'.",msgid35,,,,,,,,,,,,,Train
36,36,36,36,36,110.16,114.24,1,1,And then see if there's thats twenty which is not,Probing,This utterance is probing as it suggests a course of action for the participants to take in order to determine the weight of the blocks. It prompts further discussion or deliberation on how to identify the block that weighs twenty grams.,msgid36,Participant 1: just like put it on,Participant 1: Use the scale to determine the weights ok cool,Participant 1: Ok so you want us to,The utterance 'just like put it on' directly triggered the probing question about the possibility of finding a block weighing twenty units.,The second causal counterpart about using the scale shows the progression of the participants trying to figure out the weights of the blocks.,"The initial prompt from Participant 1 sets the context for the conversation, indicating that the group is tasked with using the scale for weight determination.",1_3,"Participant 1: Ok yeah  
Participant 1: Oh and we don't touch the scale yet
Participant 3: it's right there
Participant 1: Ok so you want us to
Participant 1: Use the scale to determine the weights ok cool
Participant 1: Where's the survey oh ok
Participant 3: um it's turned off
Participant 2: Ok
Participant 1: ok well red block would be nine minus ten
Participant 3: One
Participant 2: red block's ten so then
Participant 1: just like put it on
Participant 2: Does the slider move
Participant 1: Hold on lets just uh
Participant 3: red block, blue block seems pretty balanced
Participant 1: yeah ok so now we know that blue block is also ten
Participant 1: Um ok so now
Participant 2: Ok
Participant 1: what would we maybe put blue block one on there too
Participant 2: Cool",And then see if there's thats twenty which is not,msgid27,msgid17,msgid16,Train
37,37,37,37,37,112.16,112.92,1,2,purple block's more,Neither,"The utterance 'purple block's more' does not fall under the category of probing or non-probing deliberation. It does not introduce new information or provoke discussion, nor does it contribute to the task solution or reasoning.",msgid37,,,,,,,,,,,,,Train
38,38,38,38,38,114.87,120.33,1,1,lets try yellow block one oh gee louise green block one,Non-probing deliberation,Participant is discussing and deliberating on the weights of the blocks and trying to determine the weight of the yellow block by mentioning the weights of the green block.,msgid38,,,,,,,,,,,,,Train
39,39,39,39,39,117.41,118.25,1,3,No  ,Neither,"The utterance 'No' does not fit into the categories of probing or non-probing deliberation. It does not introduce new information or provoke discussion, and it is not inherently useful for the conversation. Therefore, it is categorized as 'Neither'.",msgid39,,,,,,,,,,,,,Train
40,40,40,40,40,121.2,125.01,1,1,Ok lets just oops sorry,Neither,This utterance does not fall under probing or non-probing deliberation categories. It seems more like a slip of the tongue or a momentary distraction.,msgid40,,,,,,,,,,,,,Train
41,41,41,41,41,127.35,132.0,1,2,ok so green block one is probably twenty ten ten twenty,Non-probing deliberation,Participant 1 is deliberating on the weights of the blocks based on the information gathered so far and making a suggestion for the next step in determining the weights. This contributes to the task at hand and the participants' reasoning process.,msgid41,,,,,,,,,,,,,Train
42,42,42,42,42,128.83,130.08,1,3,Yeah seems about twenty,Non-probing deliberation,The utterance 'Yeah seems about twenty' is a deliberative statement contributing to the ongoing discussion regarding the weights of the blocks. It reflects the participant's reasoning and evaluation of the situation based on previous statements ('ten ten twenty').,msgid42,,,,,,,,,,,,,Train
43,43,43,43,43,128.41,130.75,1,1,Ok so ten ten twenty,Non-probing deliberation,"The utterance 'Ok so ten ten twenty' is a non-probing deliberation as it is directly related to the task at hand of determining the weights of the wooden blocks. The participant is likely suggesting placing two blocks of 10 grams each and one block of unknown weight on the scale to see if it balances at 30 grams, contributing to the overall deliberation process.",msgid43,,,,,,,,,,,,,Train
44,44,44,44,44,132.27,139.65,1,1,"ok so now lets start at thirty alright put one of yellow block, purple block on there",Non-probing deliberation,"The current utterance is a part of the deliberation process where the participants are discussing the weights of the blocks and planning their next steps in determining the weights of the blocks. It is concerned with the task's solution and the participants' reasoning, thus classified as non-probing deliberation.",msgid44,,,,,,,,,,,,,Train
45,45,45,45,45,135.33,135.91,1,3,Yes  ,Neither,"The utterance 'Yes' does not fall under probing or non-probing deliberation categories. It does not introduce new information, provoke discussion, or contribute directly to the task at hand.",msgid45,,,,,,,,,,,,,Train
46,46,46,46,46,135.73,136.41,1,2,Yeah thirty,Non-probing deliberation,"The utterance 'Yeah thirty' is a continuation of the deliberation regarding the weights of the blocks. It contributes to the ongoing calculation and reasoning process, indicating agreement with the previous estimations made by the participants.",msgid46,,,,,,,,,,,,,Train
47,47,47,47,47,140.73,145.89,1,1,Ooh its looking like thirty,Neither,"This utterance does not fall into the category of probing or non-probing deliberation. It does not introduce new information or provoke discussion, but rather expresses a reaction or observation ('Ooh its looking like thirty').",msgid47,,,,,,,,,,,,,Train
48,48,48,48,48,142.91,144.92,1,2,probably thirty at this point,Non-probing deliberation,Participant is providing their reasoning and deliberating on the weight of the block based on the previous discussion and calculations. This contributes to the task solution and participants' reasoning.,msgid48,,,,,,,,,,,,,Train
49,49,49,49,49,148.86,159.42,1,1,ok so we got ok yeah yellow block one is really heavy so lets do the a purple block and a ten,Non-probing deliberation,"The utterance is focused on deliberating on the task at hand, specifically on determining the weight of the purple block and the ten grams block. It is a continuation of the ongoing discussion about determining the weights of the blocks.",msgid49,,,,,,,,,,,,,Train
50,50,50,50,50,149.25,154.25,1,2,Yeah ten ten twenty thirty,Non-probing deliberation,Participant 1 is continuing the deliberation on determining the weights of the blocks based on the information provided by Participant 3. This utterance contributes to the task at hand and aids in the process of determining the weights of the blocks.,msgid50,,,,,,,,,,,,,Train
51,51,51,51,51,153.21,155.25,1,3,Twenty thirty forty,Non-probing deliberation,"The utterance is a continuation of the deliberation and reasoning process regarding the weights of the blocks. It contributes to the ongoing discussion by summarizing the weights mentioned earlier (10, 20, 30), providing a logical progression in determining the weights of the blocks.",msgid51,,,,,,,,,,,,,Train
52,52,52,52,52,159.6,163.86,1,3,So fourty pounds,Neither,"The utterance 'So fourty pounds' is not a probing question, nor is it a non-probing deliberation. It does not introduce new information, provoke discussion, or contribute to the task at hand. It seems like a statement made by a participant possibly referring to the total weight of the blocks, but it does not further the deliberation or conversation.",msgid52,,,,,,,,,,,,,Train
53,53,53,53,53,162.91,163.86,1,1,Yeah,Neither,"This utterance 'Yeah' does not fall into the categories of probing or non-probing deliberation. It is a general agreement or acknowledgement, which is neither probing nor contributing to the deliberation at hand.",msgid53,,,,,,,,,,,,,Train
54,54,54,54,54,164.37,167.91,1,3,Fifty pounds or pounds grams,Neither,"This utterance does not fit into the categories of probing or non-probing deliberation. It seems like the participant may have made a mistake by mentioning 'pounds' instead of 'grams', which does not contribute to further discussion or deliberation.",msgid54,,,,,,,,,,,,,Train
55,55,55,55,55,169.31,171.99,1,1,"interesting so purple block, red block, blue block's ten twenty",Neither,This utterance does not fit into the categories of probing or non-probing deliberation. It is more of a statement of observation or summary of the current situation.,msgid55,,,,,,,,,,,,,Train
56,56,56,56,56,172.56,183.58,1,1,"so we said purple block ones thirty i still feel like purple block, red block, blue block's heavier and green block one is twenty",Non-probing deliberation,The utterance is a continuation of the deliberation about the weights of the different blocks. The participant is contributing to the discussion by sharing their thoughts on the relative weights of the blocks based on the information provided.,msgid56,,,,,,,,,,,,,Train
57,57,57,57,57,174.54,185.08,1,2,"yeah yeah the blue dark blue one is thirty purple block's the larger one purple block, red block, blue block's slightly heavier yeah",Neither,This utterance does not fall under the categories of probing or non-probing deliberation. It does not introduce a probing question or contribute directly to the deliberation of determining the weights of the blocks. It appears to be a statement providing information about the weights of the blocks.,msgid57,,,,,,,,,,,,,Train
58,58,58,58,58,185.33,187.83,1,3,"we can replace one of red block, blue block with the twenty to get",Non-probing deliberation,"The utterance is focused on the task at hand, discussing a strategy to replace one of the blocks to determine its weight. It contributes to the deliberation and reasoning process in solving the problem.",msgid58,,,,,,,,,,,,,Train
59,59,59,59,59,188.1,189.5,1,3,Sixty here,Neither,"The utterance 'Sixty here' does not fit into the categories of probing or non-probing deliberation. It does not provide any new information, provoke discussion, or contribute to the task at hand. It seems to be unrelated to the ongoing conversation about determining the weights of the wooden blocks.",msgid59,,,,,,,,,,,,,Train
60,60,60,60,60,189.91,196.44,1,1,ok and then put blue block on yellow block one,non-probing deliberation,The utterance is a continuation of the deliberation on determining the weights of the blocks. Participant 1 is providing a specific instruction on placing the blue block on the yellow block to further progress in reaching a consensus on the weights.,msgid60,,,,,,,,,,,,,Train
61,61,61,61,61,198.15,202.14,1,2,how much is the dark blue small one ten,Neither,"The utterance does not fit into the categories of probing or non-probing deliberation as it is not introducing new information, probing for discussion, or providing reasoning related to the task at hand. It seems to be a simple question about the weight of a specific block.",msgid61,,,,,,,,,,,,,Train
62,62,62,62,62,200.31,201.37,1,1,"ten red block, blue block're both",Non-probing deliberation,Participant 1 is continuing to deliberate on the weights of the blocks by mentioning that the red block and blue block both weigh ten grams. This contributes to the task at hand and aids in the ongoing deliberation process.,msgid62,,,,,,,,,,,,,Train
63,63,63,63,63,203.49,204.34,1,1,assuming that this was,Neither,"This utterance does not fall under probing or non-probing deliberation categories. It seems to be a continuation of a thought or assumption, without introducing new information or provoking discussion.",msgid63,,,,,,,,,,,,,Train
64,64,64,64,64,204.58,206.37,1,2,oh gosh i think i got them mixed up,Neither,"This utterance expresses personal frustration or realization, and does not fall into the categories of probing or non-probing deliberation.",msgid64,,,,,,,,,,,,,Train
65,65,65,65,65,207.06,210.87,1,1,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty",Non-probing deliberation,The utterance is part of a structured discussion about the weights of the wooden blocks being determined. Participant is deliberating on the weights of the blocks in relation to the known weight of one block being 10 grams. The utterance is focused on the task at hand and the reasoning behind the weights assigned to each block.,msgid65,,,,,,,,,,,,,Train
66,66,66,66,66,211.29,213.93,1,1,So what have we done weve done forty,Non-probing deliberation,The utterance is part of the deliberation process where participants are discussing the weights of the blocks they have tested. It is relevant to the task at hand and contributes to the ongoing conversation regarding the weights of the blocks.,msgid66,,,,,,,,,,,,,Train
67,67,67,67,67,214.47,216.45,1,1,Um,Neither,"The utterance 'Um' does not fall under probing or non-probing deliberation categories. It is a hesitation cue, which is included in the 'Neither' category.",msgid67,,,,,,,,,,,,,Train
68,68,68,68,68,216.63,219.06,1,1,And then we did fifty,Non-probing deliberation,The utterance is part of a participant's deliberation process as they are discussing the weights of the blocks and determining the correct weights. It contributes to the task solution and reasoning.,msgid68,,,,,,,,,,,,,Train
69,69,69,69,69,216.16,217.66,1,2,it's just like slightly,Neither,"This utterance does not fall under probing or non-probing deliberation categories. It does not introduce new information, provoke discussion, or contribute to a solution to the task at hand. It seems to be a filler word or a vague comment.",msgid69,,,,,,,,,,,,,Train
70,70,70,70,70,219.33,221.49,1,1,And then we did sixty,Non-probing deliberation,Participant 1 is contributing to the deliberation by providing information about the weights determined so far (60 grams). This helps in keeping track of the progress towards determining the weights of the blocks.,msgid70,,,,,,,,,,,,,Train
71,71,71,71,71,228.06,231.51,1,1,and now it stopped being too heavy,Neither,"This utterance does not fit the categories of probing or non-probing deliberation. It does not introduce new information or provoke further discussion, and it is not directly related to the task at hand.",msgid71,,,,,,,,,,,,,Train
72,72,72,72,72,231.54,233.52,1,1,"so purple block, green block is supposedly",Non-probing deliberation,"This utterance is part of the deliberation process where the participants are discussing the weights of the different colored blocks. It is focused on determining the weight relationship between the purple block and the green block, which is crucial for solving the task.",msgid72,,,,,,,,,,,,,Train
73,73,73,73,73,234.27,239.82,1,1,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing",Neither,"This utterance does not fall under probing or non-probing deliberation categories. It simply restates the weights of the blocks and compares the weights of the purple, green, and yellow blocks without introducing new information or prompting further discussion.",msgid73,,,,,,,,,,,,,Train
74,74,74,74,74,235.83,237.58,1,2,Fifty yeah,Neither,"This utterance does not fit into the categories of probing or non-probing deliberation. It does not introduce new information, provoke discussion, or contribute to the task at hand. It appears to be a confirmation or agreement statement in response to the previous discussion.",msgid74,,,,,,,,,,,,,Train
75,75,75,75,75,240.84,242.82,1,1,So have we done forty,Non-probing deliberation,The utterance is part of the deliberation process to determine the weights of the blocks. The participant is checking if they have already determined the weight of forty grams.,msgid75,,,,,,,,,,,,,Train
76,76,76,76,76,251.88,258.72,1,1,"so thirty purple block, blue block is also forty right so purple block, blue block if forty yeah",Non-probing deliberation,"The utterance is focused on discussing the weights of the purple and blue blocks, contributing to the task at hand of determining the weights of the blocks. It shows deliberation and reasoning towards reaching a consensus.",msgid76,,,,,,,,,,,,,Train
77,77,77,77,77,254.63,255.31,1,2,ok so green block one's twenty right,non-probing deliberation,Participant 1 is continuing the deliberation by discussing the weight of the green block and confirming its weight as twenty grams. This is essential for the task solution and contributes to the overall discussion on determining the weights of the wooden blocks.,msgid77,,,,,,,,,,,,,Train
78,78,78,78,78,256.84,257.01,1,3,Yes,Neither,This utterance is a general affirmation and does not fall under the categories of probing or non-probing deliberation as it does not contribute to the task-related discussion or introduce new arguments.,msgid78,,,,,,,,,,,,,Train
79,79,79,79,79,260.01,263.82,1,1,"purple block, green block is fifty it's not",Non-probing deliberation,"The utterance is contributing to the deliberation by providing information regarding the weight of the purple and green blocks, which is necessary for determining the weights of the remaining blocks.",msgid79,,,,,,,,,,,,,Train
80,80,80,80,80,264.93,267.36,1,1,yo that's close enough ok so,Non-probing deliberation,The utterance acknowledges the progress made in determining the weights of the blocks and expresses satisfaction with the current estimations. It contributes to the deliberative process by affirming the closeness of the estimations to the expected weights.,msgid80,,,,,,,,,,,,,Train
81,81,81,81,81,268.08,272.58,1,3,yeah fifty so we say yellow is fifty,Neither,This utterance does not fit into the categories of probing or non-probing deliberation. It seems to be a statement providing information about the weight of the yellow block without prompting further discussion or deliberation.,msgid81,,,,,,,,,,,,,Train
82,82,82,82,82,267.57,269.42,1,1,Fifty boom,Neither,"The utterance 'Fifty boom' does not fall into the categories of probing, non-probing deliberation, as it does not contribute to the discussion or the deliberation process. It seems to be a standalone statement that does not provide new information or prompt further conversation.",msgid82,,,,,,,,,,,,,Train
83,83,83,83,83,274.26,280.32,1,3,and green is twenty ok so which one is blue and which one is purple,Non-probing deliberation,The utterance is focused on determining which block corresponds to the color blue and which block corresponds to the color purple based on the weights. This contributes to the task's solution and the participants' reasoning.,msgid83,,,,,,,,,,,,,Train
84,84,84,84,84,275.75,279.11,1,2,Yeah,Neither,This utterance 'Yeah' does not fall under probing or non-probing deliberation categories. It is a common conversational filler that does not introduce new information or provoke further discussion.,msgid84,,,,,,,,,,,,,Train
85,85,85,85,85,275.83,277.75,1,1,i think that's i think that's good,Neither,"This utterance does not fall into the categories of probing or non-probing deliberation. It does not introduce new information or provoke discussion, nor does it contribute directly to the task at hand. It is more of a general statement expressing satisfaction or approval.",msgid85,,,,,,,,,,,,,Train
86,86,86,86,86,281.25,283.48,1,2,i think purple block one is purple and blue block one is blue,Non-probing deliberation,The utterance is a part of the deliberation among the participants to correctly identify the colors and corresponding weights of the blocks. It contributes to the task solution and helps in reaching a consensus.,msgid86,,,,,,,,,,,,,Train
87,87,87,87,87,282.25,286.26,1,3,ok so blue is ten and purple is,Non-probing deliberation,The utterance is part of the deliberation process to determine the weights of the blocks. It contributes to the task at hand by discussing the weights of the blue and purple blocks.,msgid87,,,,,,,,,,,,,Train
88,88,88,88,88,286.56,287.08,1,3,Thirty,Neither,"The utterance 'Thirty' does not fall under probing or non-probing deliberation as it is a standalone statement indicating the weight of the purple block. It does not provoke discussion or provide reasoning, nor does it directly contribute to the task solution.",msgid88,,,,,,,,,,,,,Train
89,89,89,89,89,288.92,292.47,1,1,yes verify real quick but i think purple block is,Probing,"The utterance 'verify real quick but i think purple block is' is a probing question as it prompts the other participants to quickly verify the weight of the purple block, potentially leading to further discussion or clarification on the topic.",msgid89,"purple block, blue block is also forty right so purple block, blue block if forty yeah","purple block, green block is fifty it's not","purple block, green block's still heavier than yellow block thing",The statement about the purple block being forty grams along with the blue block and confirming it triggered the probing question about verifying the purple block.,"The participants are discussing the weight of the purple block and discovering that it is not fifty grams, which is another pivotal point in the weight determination process.","This utterance is where the comparison between the purple block and green block being heavier than the yellow block is made, indicating the ongoing process of elimination and weight deduction.",1_4,"Participant 1: Um
Participant 1: And then we did fifty
Participant 2: it's just like slightly
Participant 1: And then we did sixty
Participant 1: and now it stopped being too heavy
Participant 1: so purple block, green block is supposedly
Participant 1: thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing
Participant 2: Fifty yeah
Participant 1: So have we done forty
Participant 1: so thirty purple block, blue block is also forty right so purple block, blue block if forty yeah
Participant 2: ok so green block one's twenty right
Participant 3: Yes
Participant 1: purple block, green block is fifty it's not
Participant 1: yo that's close enough ok so
Participant 3: yeah fifty so we say yellow is fifty
Participant 1: Fifty boom
Participant 3: and green is twenty ok so which one is blue and which one is purple
Participant 2: Yeah
Participant 1: i think that's i think that's good
Participant 2: i think purple block one is purple and blue block one is blue
Participant 3: ok so blue is ten and purple is
Participant 3: Thirty",yes verify real quick but i think purple block is,msgid76,msgid79,msgid73,Train
90,90,90,90,90,288.91,289.41,1,2,Yes thirty,Neither,"The utterance 'Yes thirty' does not fit into the categories of probing or non-probing deliberation as it does not introduce new information, provoke discussion, or contribute to the task's solution. It seems to be a standalone statement that is not directly related to the ongoing conversation.",msgid90,,,,,,,,,,,,,Train
91,91,91,91,91,295.32,304.62,1,1,yeah we got them yeah,Neither,"The utterance 'yeah we got them yeah' does not fall under the categories of probing or non-probing deliberation. It does not introduce any new information or provoke discussion, deliberation, or argumentation. It simply acknowledges a previous statement without adding any additional substance to the conversation.",msgid91,,,,,,,,,,,,,Train
92,92,92,92,92,296.48,296.79,1,2,Yeah,Neither,"This utterance 'Yeah' does not fit into the categories of probing or non-probing deliberation. It is a simple agreement or acknowledgment, without introducing new information or provoking further discussion.",msgid92,,,,,,,,,,,,,Train
